Date,ISIN,Symbol,Price,Source
2025-04-23,INE022I01019,ASIANTILES.NS,46.34000015258789,yfinance
2025-04-23,INE021A01026,ASIANPAINT.NS,2453.10009765625,yfinance
2025-04-23,INE406A01037,AUROPHARMA.NS,1246.800048828125,yfinance
2025-04-23,INE119A01028,BALRAMCHIN.NS,589.75,yfinance
2025-04-23,INE791I01019,BRIGADE.NS,1048.75,yfinance
2025-04-23,INE120A01034,CARBORUNIV.NS,1076.5999755859375,yfinance
2025-04-23,INE348B01021,CENTURYPLY.NS,731.7000122070312,yfinance
2025-04-23,INE522F01014,COALINDIA.NS,398.9500122070313,yfinance
2025-04-23,INE158B01016,EIMCOELECO.NS,1841.800048828125,yfinance
2025-04-23,INE158A01026,HEROMOTOCO.NS,3940.5,yfinance
2025-04-23,INE483B01026,ICIL.NS,308.3500061035156,yfinance
2025-04-23,INE154A01025,ITC.NS,430.8500061035156,yfinance
2025-04-23,INE786A01032,JKLAKSHMI.NS,799.7999877929688,yfinance
2025-04-23,INE318A01026,PIDILITIND.NS,3066.89990234375,yfinance
2025-04-23,INE343B01030,RAJESHEXPO.NS,199.72999572753903,yfinance
2025-04-23,INE343H01029,SOLARINDS.NS,13084.0,yfinance
2025-04-23,INE467B01029,TCS.NS,3413.0,yfinance
2025-04-23,INE155A01022,TATAMOTORS.NS,659.9000244140625,yfinance
2025-04-23,INE081A01012,TATASTEEL.NS,141.16000366210938,yfinance
2025-04-23,INE205A01025,VEDL.NS,418.2000122070313,yfinance
2025-04-23,INE540H01012,VOLTAMP.NS,7812.0,yfinance
2025-04-23,INE366I01010,VRLLOG.NS,482.2999877929687,yfinance
2025-04-23,INE976A01021,WSTCSTPAPR.NS,447.3500061035156,yfinance
2025-04-23,INE031B01049,AJANTPHARM.NS,2688.89990234375,yfinance
2025-04-23,INE917I01010,BAJAJ-AUTO.NS,8261.5,yfinance
2025-04-23,INE016A01026,DABUR.NS,486.2000122070313,yfinance
2025-04-23,INE267A01025,HINDZINC.NS,449.0499877929687,yfinance
2025-04-23,INE001B01026,KRBL.NS,316.25,yfinance
2025-04-23,INE030A01027,HINDUNILVR.NS,2423.800048828125,yfinance
2025-04-23,INE203G01027,IGL.NS,185.5099945068359,yfinance
2025-04-23,INE018A01030,LT.NS,3301.0,yfinance
2025-04-23,INE134E01011,PFC.NS,433.1000061035156,yfinance
2025-04-23,INE092A01019,TATACHEM.NS,857.5999755859375,yfinance
2025-04-23,INE192A01025,TATACONSUM.NS,1150.0999755859375,yfinance
2025-04-23,INE280A01028,TITAN.NS,3357.300048828125,yfinance
2025-04-23,INE437A01024,APOLLOHOSP.NS,7142.0,yfinance
2025-04-23,INE296A01024,BAJFINANCE.NS,9323.0,yfinance
2025-04-23,INE397D01024,BHARTIARTL.NS,1881.5999755859373,yfinance
2025-04-23,INE216A01030,BRITANNIA.NS,5544.2998046875,yfinance
2025-04-23,INE059A01026,CIPLA.NS,1533.699951171875,yfinance
2025-04-23,INE361B01024,DIVISLAB.NS,5924.5,yfinance
2025-04-23,INE040A01034,HDFCBANK.NS,1923.9000244140625,yfinance
2025-04-23,INE090A01021,ICICIBANK.NS,1424.4000244140625,yfinance
2025-04-23,INE095A01012,INDUSINDBK.NS,794.2000122070312,yfinance
2025-04-23,INE009A01021,INFY.NS,1474.9000244140625,yfinance
2025-04-23,INE646L01027,INDIGO.NS,5558.5,yfinance
2025-04-23,INE585B01010,MARUTI.NS,11907.0,yfinance
2025-04-23,INE733E01010,NTPC.NS,363.7999877929687,yfinance
2025-04-23,INE213A01029,ONGC.NS,252.1699981689453,yfinance
2025-04-23,INE301A01014,RAYMOND.NS,1550.5,yfinance
2025-04-23,INE002A01018,RELIANCE.NS,1300.0,yfinance
2025-04-23,INE621L01012,TEXRAIL.NS,152.0399932861328,yfinance
2025-04-23,INE849A01020,TRENT.NS,5329.0,yfinance
2025-04-24,INE144J01027,20MICRONS.NS,230.8000030517578,yfinance
2025-04-24,INE253B01015,21STCENMGM.NS,,yfinance
2025-04-24,INE748C01020,3IINFOTECH.NS,,yfinance
2025-04-24,INE470A01017,3MINDIA.NS,29875.0,yfinance
2025-04-24,INE105C01023,3PLAND.NS,,yfinance
2025-04-24,INE618L01018,5PAISA.NS,,yfinance
2025-04-24,INE111B01023,63MOONS.NS,702.8499755859375,yfinance
2025-04-24,INE650K01021,8KMILES.NS,,yfinance
2025-04-24,INE619I01012,A2ZINFRA.NS,,yfinance
2025-04-24,INE087Z01016,AAKASH.NS,,yfinance
2025-04-24,INE721Z01010,AARON.NS,,yfinance
2025-04-24,INE767A01016,AARTIDRUGS.NS,,yfinance
2025-04-24,INE769A01020,AARTIIND.NS,442.3500061035156,yfinance
2025-04-24,INE09EO01013,AARTISURF.NS,,yfinance
2025-04-24,INE273D01019,AARVEEDEN.NS,,yfinance
2025-04-24,INE754X01016,AARVI.NS,,yfinance
2025-04-24,INE216P01012,AAVAS.NS,,yfinance
2025-04-24,INE421A01028,ABAN.NS,,yfinance
2025-04-24,INE117A01022,ABB.NS,,yfinance
2025-04-24,INE358A01014,ABBOTINDIA.NS,,yfinance
2025-04-24,INE674K01013,ABCAPITAL.NS,203.10000610351562,yfinance
2025-04-24,INE647O01011,ABFRL.NS,,yfinance
2025-04-24,INE251C01017,ABMINTLTD.NS,,yfinance
2025-04-24,INE012A01025,ACC.NS,,yfinance
